repository_id,name,commit_count,pull_request_count,issue_count,contributor_count,lines_added,lines_deleted,code_churn,pr_issue_ratio,commit_contributor_ratio,issue_pressure,churn_per_commit,contributor_pressure,risk_score,risk_level
1,react,30,30,5,3,0,0,0,5.0,7.5,0.16129032258064516,0.0,0.25,-38.54838709677419,MEDIUM
3,core,30,30,0,3,0,0,0,30.0,7.5,0.0,0.0,0.25,-295.0,LOW
4,angular,30,30,3,3,0,0,0,7.5,7.5,0.0967741935483871,0.0,0.25,-66.12903225806451,LOW
5,next.js,30,30,4,8,0,0,0,6.0,3.3333333333333335,0.12903225806451613,0.0,0.1111111111111111,-52.61648745519713,MEDIUM
6,django,30,30,0,5,0,0,0,30.0,5.0,0.0,0.0,0.16666666666666666,-296.6666666666667,LOW
7,fastapi,30,30,1,4,0,0,0,15.0,6.0,0.03225806451612903,0.0,0.2,-144.70967741935485,LOW
8,flask,30,30,9,1,0,0,0,3.0,15.0,0.2903225806451613,0.0,0.5,-8.387096774193548,MEDIUM
9,node,30,30,3,3,0,0,0,7.5,7.5,0.0967741935483871,0.0,0.25,-66.12903225806451,MEDIUM
10,tensorflow,30,30,1,2,0,0,0,15.0,10.0,0.03225806451612903,0.0,0.3333333333333333,-142.04301075268816,LOW
11,pytorch,30,0,0,6,0,0,0,0.0,4.285714285714286,0.0,0.0,0.14285714285714285,2.8571428571428568,MEDIUM
12,kubernetes,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,HIGH
13,vscode,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,HIGH
14,requests,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,HIGH
15,pandas,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,HIGH
16,numpy,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,20.0,HIGH
